Period,Revenue,SubscriptionRevenue,GrossProfit,GrossMargin,OperatingIncome,NetIncome,EPS,EPSDiluted,FreeCashFlow,ARR,Customers,ACV,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding
Q1 2021,21.7,19.8,17.9,82.2,-5.6,-5.6,-0.17,-0.17,,,,197.3,,217.4,32781080
Q2 2021,25.6,23.6,20.5,79.9,-6.3,-7.2,-0.22,-0.22,-0.8,93.4,2485,37.6,,,,
H1 2021,47.4,43.4,38.4,81.0,-12.0,-12.8,-0.40,-0.40,-3.2,93.4,2485,37.6,,,,
Q3 2021,27.1,25.1,21.4,79.0,1.5,0.7,0.02,0.02,-1.0,103.5,2636,39.3,,,215.5,
9M 2021,74.4,68.5,59.7,80.3,-10.5,-12.1,-0.37,-0.37,-4.2,103.5,2636,39.3,,,,
Q1 2022,32.1,29.1,25.5,79.6,-5.7,-7.0,-0.21,-0.21,-2.4,,,,,,,
Q2 2022,34.9,31.9,28.0,80.0,2.1,2.1,0.06,0.06,1.0,138.2,3106,44.5,,,,
H1 2022,67.0,61.0,53.5,79.8,-4.8,-4.9,-0.14,-0.14,-1.4,138.2,3106,44.5,,,,
Q3 2022,37.0,34.3,29.8,80.7,9.0,10.3,0.31,0.31,0.6,144.6,3245,44.6,,,,
9M 2022,104.0,95.3,83.3,80.1,4.3,5.4,0.16,0.16,-0.5,144.6,3245,44.6,,,,
FY2022,143.6,129.3,114.2,79.5,-1.1,1.2,0.04,0.04,0.8,153.3,3395,45.2,,,,
Q1 2023,41.5,38.8,33.4,80.6,-0.4,1.2,0.04,0.04,-2.3,164.9,3506,47.0,,,,
Q2 2023,43.6,40.8,35.2,80.7,-7.5,-5.7,-0.17,-0.17,7.0,172.9,3591,48.1,,,,
H1 2023,85.1,79.7,68.6,80.6,-7.9,-4.4,-0.13,-0.13,4.8,172.9,3591,48.1,,,,
Q3 2023,46.5,43.6,37.7,81.1,3.1,4.0,0.12,0.12,8.4,181.8,3679,49.4,,,,
9M 2023,131.6,123.3,106.3,80.8,-4.8,-0.4,-0.01,-0.01,13.1,181.8,3679,49.4,,,,
FY2023,179.9,167.1,144.0,80.0,0.5,0.8,0.03,0.02,14.2,191.2,3769,50.7,50.7,,71.9,30305156
Q1 2024,51.4,47.9,41.5,80.7,4.2,5.2,0.17,0.17,9.2,201.2,3833,52.5,59.6,,80.6,30319606
Q2 2024,53.1,49.8,42.8,80.7,4.5,4.7,0.15,0.15,8.4,205.9,3898,52.8,42.5,,82.1,30350110
H1 2024,104.5,97.7,84.3,80.7,8.8,9.9,0.33,0.32,17.6,205.9,3898,52.8,42.5,,82.1,30334858
Q3 2024,55.4,52.6,45.0,81.1,4.7,5.0,0.16,0.16,4.5,214.1,3945,54.3,45.1,,82.0,30221380
9M 2024,159.9,150.3,129.2,80.8,13.5,14.8,0.49,0.48,22.2,214.1,3945,54.3,45.1,,82.0,30296756
FY2024,215.3,202.9,174.2,80.9,18.4,19.8,0.65,0.64,31.2,219.9,3980,55.2,52.4,,92.5,30255955
Q1 2025,57.3,54.2,45.9,80.1,1.7,1.5,0.05,0.05,9.0,225.1,,,52.4,,91.9,30263194
