Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPSBasic,EPSDiluted,FreeCashFlow,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding
FY2015,18280.0,,,2349.2,12.9,,−1152.5,−6.3,−0.19,−0.19,2432.1,10174.3,46749.1,,884.0
FY2016,17285.0,,,2482.2,14.4,,1960.8,11.3,2.20,2.18,1978.9,14732.0,37510.8,,891.7
FY2017,15048.9,,,1947.5,12.9,,−1943.6,−12.9,−2.29,−2.29,1551.2,6393.0,42214.9,552.6,847.9
FY2018,11957.9,,,839.1,7.0,,−1532.0,−12.8,−1.97,−1.97,107.8,4681.4,29805.2,1327.2,778.7
FY2019,11541.5,,,745.5,6.5,,−1525.8,−13.2,−2.16,−2.16,631.3,13606.2,28182.5,1327.2,705.8
FY2020,11980.1,,,2117.7,17.7,,−1628.0,−13.6,−2.70,−2.70,1069.8,13662.6,29849.2,1327.2,602.1
FY2021,10311.3,,,1320.3,12.8,,13426.8,130.2,24.16,23.59,1289.5,25934.9,34892.5,910.6,555.7
FY2022,7195.7,,,146.8,2.0,,1473.2,20.5,3.01,2.96,1118.0,22436.4,32779.7,1726.2,489.6
FY2023,7491.4,,,−244.5,−3.3,,−4051.7,−54.1,−9.52,−9.52,575.6,19062.6,34854.4,1415.9,425.7
FY2024,4341.9,,,−60.1,−1.4,,1588.0,36.6,4.33,4.23,311.7,12365.9,9066.9,1816.3,366.7
